id;titel;untertitel;buch_id
1000;Programmieren mit TypeScript;Grundlagen und Praxis;1000
1001;Einführung in NestJS;Server-seitige Entwicklung;1001
1002;Datenbanken mit Prisma;ORM praktisch;1002
1003;Angular für Einsteiger;Frontend mit Komponenten;1003
1004;Sichere Webanwendungen;Best Practices;1004
1005;Microservices in der Praxis;Architekturen und Patterns;1005
1006;Test-Driven Development;Tests effektiv einsetzen;1006
1007;REST APIs gestalten;Konventionen und Design;1007
1008;GraphQL kompakt;Moderne API-Entwicklung;1008
1009;DevOps Grundlagen;Automatisierung und Deployment;1009
1010;Clean Code;Wartbarer Code schreiben;1010
1011;Refactoring;Code verbessern ohne Verhalten zu ändern;1011
1012;Kubernetes praktisch;Container-Orchestrierung;1012
1013;Agile Methoden;Scrum und Kanban;1013
1014;Software-Architektur;Patterns und Best Practices;1014
1015;Scripting mit Bash;Shell-Programmierung;1015
1016;Machine Learning Basics;Einführung in ML;1016
1017;Docker kompakt;Container-Technologie;1017
1018;Netzwerke verständlich;TCP/IP und mehr;1018
1019;Python für Data Science;Datenanalyse mit Python;1019
1020;React Patterns;Moderne React-Entwicklung;1020
1021;Vue.js 3 kompakt;Progressive Framework;1021
1022;MongoDB Essentials;NoSQL-Datenbanken;1022
1023;Continuous Delivery;Automatisierte Software-Auslieferung;1023
1024;Git für Profis;Versionskontrolle meistern;1024
1025;Domain-Driven Design;Komplexität bewältigen;1025
1026;Linux Administration;Systemverwaltung praktisch;1026
1027;Functional Programming;Deklarative Programmierung;1027
1028;Cloud Native Patterns;Moderne Cloud-Architekturen;1028
1029;JavaScript: The Good Parts;Best Practices;1029
1030;Redis in Action;Caching und Datenstrukturen;1030
1031;PostgreSQL Praxis;Relationale Datenbanken;1031
1032;Serverless Architecture;Cloud Functions;1032
1033;WebAssembly kompakt;High-Performance Web;1033
1034;Terraform Basics;Infrastructure as Code;1034
1035;Elm Programming;Funktionale Frontend-Entwicklung;1035
1036;Svelte Framework;Reaktive UI-Entwicklung;1036
1037;AWS Cloud Practitioner;Amazon Web Services;1037
1038;Azure Fundamentals;Microsoft Cloud;1038
1039;Rust Programming;Sichere Systemprogrammierung;1039
1040;Go Concurrency;Nebenläufigkeit in Go;1040
1041;Flutter Development;Cross-Platform Mobile;1041
1042;Kotlin für Android;Moderne Android-Entwicklung;1042
1043;Swift Programming;iOS-Entwicklung;1043
1044;Elasticsearch Guide;Suchmaschinen-Technologie;1044
1045;RabbitMQ Essentials;Message Queuing;1045
1046;Apache Kafka Streams;Event Streaming;1046
1047;Nginx Cookbook;Web-Server-Konfiguration;1047
1048;Apache Spark Guide;Big Data Processing;1048
1049;Jenkins Pipeline;CI/CD Automation;1049
